# number of     number of    -1 for 
# observations  parameters  left truncated
1.2573  1    -0.330559 -0.0643669 1.75616 0.738082 0.911045
2.6544  1    -0.0194691 -0.907329 0.565092 2.82055 0.643863
3.4955  1    -0.00600295 1.81139 1.12483 0.915629 1.36148
2.39735  1    -0.380574 1.00704 0.3851 0.995915 0.287915
2.41734  1    2.11438 -1.06626 0.368086 1.48371 2.50944
7.66152  1    -1.55636 0.384926 -0.570173 1.12405 1.86701
0.477963  1    0.719056 1.12074 -0.828355 0.792896 1.30418
0.522963  1    -1.15038 -0.867205 -0.603521 1.45196 -0.302767
1.65243  1    0.832964 1.73205 -0.105434 1.45916 1.5184
2.40995  1    0.138148 2.49668 1.21802 0.457539 0.589223
1.86804  1    -1.25039 -0.936961 -0.30939 1.0249 1.19207
0.419011  1    -0.65929 0.401183 -0.501785 0.516621 0.305347
0.861046  1    -2.00271 0.0647147 0.34748 1.1673 -0.49578
3.27347  1    0.64588 0.656948 -1.21262 0.919258 2.35487
2.11915  1    -2.02546 1.13335 -0.483851 -0.696215 0.628083
4.81431  1    -0.165398 -0.244215 0.232893 2.18926 0.491844
2.04234  1    0.362489 -1.25961 0.596742 0.464588 0.877044
5.34161  1    -0.149215 2.39534 0.766175 0.402198 0.955932
0.511645  1    -0.437153 1.09601 0.443125 0.735088 0.197079
2.75003  1    -0.213498 1.34932 -0.319769 0.828288 0.942665
0.00400441  1    -0.082015 0.565307 -0.732954 -0.860337 0.725055
2.34355  1    0.764819 -0.0488824 -0.168997 1.8165 0.507349
0.604672  1    -1.22184 -1.04118 -1.33795 0.220997 1.07067
0.1036  1    1.18742 0.105572 -1.12355 0.431606 0.438006
0.667464  1    -0.0479329 1.95345 -0.891882 0.840795 -0.73689
1.8828  1    0.405995 -0.235128 -1.33677 0.0362226 1.22184
4.45518  1    -0.369867 1.61951 -0.101531 0.885169 0.560591
1.61262  1    -0.0389697 0.0817259 1.05035 1.02463 0.6958
0.132545  1    -1.57221 1.10097 -1.02537 0.178448 0.736118
2.1593  1    -0.375738 0.989413 1.69442 1.68746 0.451835
0.597967  1    -1.0419 1.10738 -0.615056 0.26303 0.567513
2.77452  1    -0.320036 1.68517 1.15011 -0.414721 1.87256
0.328925  1    -2.12803 0.573544 0.185624 -0.747108 1.52167
0.991266  1    0.025554 1.99244 0.263427 1.43318 1.08285
0.512283  1    -2.2052 -1.3944 0.631674 -0.294523 0.597472
2.04847  1    -1.69275 0.497184 -0.832335 0.167703 0.547753
2.74592  1    0.248771 0.236383 2.25437 2.00531 0.842042
5.94535  1    -0.52467 -1.23847 0.305619 2.50902 0.770115
1.31655  1    -1.26225 -0.727479 1.68462 0.215385 0.433292
4.13896  1    -0.892705 -0.168435 -1.34092 0.734794 1.11004
4.15106  1    0.172008 0.56028 0.811942 1.19064 1.88395
4.40139  1    -2.02462 1.71313 2.02113 0.935924 1.17927
2.31083  1    -1.55372 2.40929 1.32178 0.341015 0.983142
5.74112  1    -0.120015 -0.205802 -0.678866 1.73291 1.7794
1.34212  1    0.11751 -0.622702 -1.54179 1.78553 1.2279
1.33436  1    0.304178 -0.38276 -2.23697 0.497065 1.87278
2.02307  1    -0.491366 0.465795 0.688288 1.54663 0.78416
1.11466  1    -0.441414 1.25448 0.785836 0.751957 0.123141
2.32767  1    -0.966318 -0.254395 0.275591 -0.205267 1.38512
3.95557  1    0.188126 0.806802 -1.44533 1.82959 0.271518
2.69317  1    -0.523864 -1.18504 -0.0416489 2.20451 0.854173
0.30612  1    -0.800031 1.48405 -0.632936 -0.282131 0.787362
0.0178647  1    -2.21433 0.469497 -1.06681 0.56746 -0.017853
8.05051  1    1.06727 1.89631 0.947331 1.96437 1.91139
1.09431  1    -1.2314 -0.184245 0.0556678 1.30779 0.305383
1.30835  1    -1.41573 1.83265 -0.918193 -0.381261 0.872243
1.9379  1    -0.0255169 0.721321 -0.682501 0.44495 1.18243
1.96553  1    -1.59757 0.232948 -0.0492915 0.64359 0.609772
0.861668  1    -1.3278 0.565088 -0.837626 1.65295 0.20597
1.122  1    -2.67933 -0.755672 1.2416 -0.476506 0.118857
0.610698  1    -0.635226 -0.429305 -1.153 1.04875 -0.498631
4.6332  1    -0.784935 0.0728333 -0.378401 0.236796 2.45829
1.21272  1    -1.10343 1.25107 1.06875 0.404368 0.818132
2.25797  1    -0.343533 1.24207 -0.276878 0.249052 1.65007
0.816742  1    -0.596992 -0.656148 -0.494749 1.02578 0.578067
0.191207  1    -0.370852 0.0440616 1.40759 0.11156 1.48723
5.75638  1    -0.949302 -0.817657 -0.88519 0.863435 1.80547
1.83773  1    -1.65937 -0.994472 -1.35803 -0.0590893 1.55908
1.77928  1    0.0117645 -0.113907 -0.15526 2.31711 0.511006
2.80006  1    -1.3938 1.21668 -0.72561 1.98941 -0.54155
6.68732  1    -0.867999 2.30391 0.272102 -0.14993 1.01139
1.81134  1    -0.740523 -0.516989 0.252992 -0.0551297 1.23658
4.35457  1    -1.29203 0.125613 0.839349 2.57598 -0.515925
4.38454  1    -1.8444 0.129556 0.188015 0.0179231 2.00618
3.23751  1    -0.0409051 0.971227 -0.887948 1.35417 1.53508
3.55722  1    0.527276 -0.280774 -0.771532 1.49132 1.39602
2.74216  1    0.397127 -0.342531 1.16911 -0.37147 2.50089
3.0869  1    -1.75359 1.43561 0.278176 1.26282 0.907697
4.04537  1    -2.0145 -0.144291 -1.38851 1.85649 1.55659
1.61185  1    -0.536259 -0.133932 -0.137013 0.16637 2.03595
1.97654  1    -1.88164 -0.852481 -1.14841 1.02065 0.260003
2.67961  1    -0.519516 -0.174057 1.1453 0.526369 0.963301
4.96325  1    -0.48288 0.752886 0.278536 1.5017 2.30255
0.64284  1    0.377532 -0.0374351 -0.870223 -0.323562 1.18049
1.74811  1    -0.92973 -1.05249 1.06105 0.507466 1.28569
5.99008  1    -1.09183 -1.5621 1.0331 1.56896 0.769118
6.70963  1    -1.7455 0.71066 1.04261 1.39124 0.835346
0.0648717  1    -2.03183 1.35306 -0.522606 -0.987112 0.82982
3.29215  1    -2.15266 1.10482 0.306898 0.662555 0.637607
3.25096  1    0.288335 0.302942 1.01147 0.148851 1.73932
2.34557  1    -1.5666 0.616916 0.164022 0.128766 -0.337684
4.42401  1    0.156177 0.455178 -0.197474 0.622818 1.8012
0.171282  1    -1.34679 -0.298691 1.62067 -1.18105 1.07558
4.43741  1    -1.17307 0.373622 -0.345352 1.32065 0.863402
1.33978  1    -0.735719 0.694531 1.27114 -0.713342 0.791329
1.99665  1    -1.12555 -1.27232 -0.122854 1.24278 1.07022
3.8621  1    -1.18982 -0.352903 1.15637 0.894749 1.17366
3.33307  1    -0.764582 -0.406195 0.335237 0.25302 2.18792
0.674159  1    -0.983519 -1.08241 -1.41245 -0.0550956 0.0845558
0.201099  1    0.591647 1.05173 -0.319212 1.19266 0.244199
2.96607  1    -2.31981 0.740099 -1.2561 0.0544638 0.720417
0.360066  1    0.0144506 0.0542442 -0.360086 0.310525 1.09154
0.69308  1    -0.139243 -1.16363 0.848777 0.819684 0.141032
0.831645  1    -1.67485 0.0436047 -1.32233 0.481018 0.0784353
1.5961  1    -1.17331 2.19675 -2.88283 -2.04116 1.63324
1.13506  1    -0.547075 0.607005 0.423777 0.158561 0.261733
0.6417  1    -1.32349 -0.128305 0.0888482 1.09709 0.670738
2.16852  1    -0.761684 -2.26027 2.03273 1.42202 1.3315
0.755993  1    -0.38594 0.114007 -1.79303 1.51655 0.2944
0.360288  1    0.507137 1.22958 0.821093 -0.558904 0.46254
5.17374  1    -0.749688 1.45909 0.575227 -0.102345 1.34824
0.86644  1    0.168975 1.27779 0.192434 -0.254376 0.800092
1.69801  1    -0.608971 0.682344 -1.99204 0.125137 0.913236
0.650199  1    -0.453247 0.211849 -1.46075 -0.0902761 0.889342
2.9676  1    -1.52697 -0.759593 -0.280003 -0.0569638 1.22769
1.84223  1    -0.339823 -0.0623874 0.806164 0.83558 0.317913
5.07352  1    -1.77914 -1.07741 -1.57671 0.931583 1.1155
3.23988  1    -2.04937 -0.256505 1.13802 1.15256 -0.349333
0.0341364  1    1.10922 -0.277617 0.234102 1.40142 1.37555
1.4289  1    0.791675 0.880318 -0.946528 1.40727 2.19682
2.08575  1    -0.868803 -0.139864 -0.863221 1.52878 0.293207
1.79938  1    -0.324118 -0.644951 1.32591 -0.762938 1.64697
0.42842  1    -1.46777 0.600963 -0.387191 -2.23118 2.11106
1.10765  1    -0.996467 0.375658 2.00951 -0.314713 2.27114
3.65778  1    -0.79825 2.2398 -1.74842 1.698 1.3276
5.198  1    -1.73951 0.464985 1.21743 1.3304 0.518779
2.29361  1    -0.717213 -0.250513 0.810759 0.701157 0.661099
0.0413758  1    0.636376 1.70291 0.946896 1.5552 -0.080918
1.81755  1    -1.28969 0.188735 -0.581188 -0.226528 0.13509
6.78555  1    -1.28591 0.459771 1.6979 1.28289 2.31412
0.188176  1    0.425488 0.402948 0.686023 1.00564 0.970215
3.53203  1    0.249567 1.27524 -0.0367979 0.545801 2.28767
5.39744  1    -0.611476 0.399794 -0.794006 0.340371 0.963543
0.461411  1    1.44257 2.00123 1.17988 0.503238 0.947078
1.37181  1    -0.433072 -0.606013 0.397078 0.851249 1.99828
5.74059  1    -0.623181 -0.723889 -0.314048 2.80748 1.02896
0.503754  1    -0.124227 0.0522276 0.313393 -0.0978746 2.74955
0.816281  1    0.404197 1.32569 -0.23401 0.319453 0.622839
1.63112  1    -0.35507 -0.27933 0.958341 0.553385 0.989719
0.150309  1    1.93997 0.70284 1.46462 1.27377 0.490509
0.553104  1    -1.1219 1.4675 -0.00731279 0.388508 -0.257234
0.868806  1    0.795763 -0.0161747 0.652211 1.68599 0.978917
10.2749  1    -2.96348 0.3023 0.00886173 2.15444 0.746527
3.14543  1    0.0843818 -0.610559 0.57984 1.92641 0.21791
1.46656  1    1.38289 1.0742 -1.10929 -0.676101 2.26903
0.758558  1    -1.68065 0.0793483 -0.263712 0.235877 0.527912
6.46748  1    -1.74074 -0.283443 1.44506 1.2146 1.1057
2.50733  1    -0.329703 2.00268 -0.133671 -1.25251 1.95834
1.3756  1    -1.38357 1.59346 -0.277623 -1.50771 2.00913
1.11581  1    -0.860897 0.923751 0.297677 0.474696 0.972782
1.58192  1    -2.19469 0.829841 -0.531889 1.28951 -0.375615
0.400897  1    -0.43244 0.0123051 0.648264 1.41944 1.266
5.5933  1    -1.61756 -1.33564 1.48894 0.887859 2.6211
0.471926  1    -1.55206 -1.61169 0.0739263 1.21109 -1.0257
3.81116  1    -1.65913 -0.0685815 0.064374 -0.220779 1.15618
1.04034  1    -0.436491 1.08995 0.107787 1.11485 0.392065
2.20424  1    -0.916588 0.964118 1.14799 1.12102 0.369565
1.65084  1    -0.509907 0.70769 1.91128 -0.608863 2.02254
0.96002  1    -1.37811 0.400851 -0.156713 -0.234129 2.1897
0.15772  1    -1.43705 0.153682 1.27343 0.372831 0.0286558
0.787277  1    -1.32303 -0.926346 0.422961 0.649331 -0.340784
5.54163  1    -1.07673 0.430226 0.176822 1.26735 1.09717
3.59708  1    0.424742 0.104732 0.703747 2.08055 0.468305
3.3217  1    -0.903875 0.30931 1.33003 1.10113 0.399307
1.36783  1    -0.961505 -0.5327 1.14281 2.02266 0.477758
0.303103  1    -1.40791 -0.868745 2.27727 0.313778 0.669864
4.30061  1    -2.0015 -0.53418 1.39428 0.610735 1.12512
2.34658  1    -0.879576 1.43192 1.3333 0.405239 1.04601
1.95546  1    0.0074282 1.22074 -1.32026 0.117533 0.756593
0.414496  1    1.21717 -1.3273 -0.070462 1.30698 0.79554
2.09816  1    -1.00186 0.112225 1.01581 0.90964 -0.0497377
2.12196  1    -2.30068 3.30809 -0.759752 -0.770037 0.360064
1.30274  1    0.429155 -0.74557 1.61871 1.09844 0.486739
3.88057  1    -1.03224 2.3698 1.39762 -0.84286 1.44637
2.43313  1    -1.08005 0.56324 0.0452351 -0.702851 0.724599
0.54559  1    -0.926525 -0.667145 -0.416056 1.03086 0.345837
3.18011  1    -1.03628 0.465659 0.450678 0.749578 2.09189
3.62214  1    -1.63865 -0.0430245 -0.397141 2.19952 0.192066
1.06048  1    -0.328016 2.03134 0.434504 0.323088 0.936031
0.950284  1    -0.814963 -1.41569 -0.0836666 1.79762 0.550162
3.12522  1    0.392301 0.162306 -0.574526 0.347334 1.46849
0.358647  1    -0.141237 1.14181 1.1533 0.696219 0.83609
1.56979  1    -0.781417 -0.350992 2.19903 -0.381433 1.79083
2.44041  1    -1.1585 -0.48684 0.209946 0.916506 1.04532
0.584734  1    -1.6075 0.53639 -0.62513 -0.111144 0.0667633
1.77354  1    -1.9535 0.476063 -0.115244 0.294266 0.327387
1.95208  1    -1.32697 0.0643416 0.130388 -0.736694 0.765352
4.54847  1    -0.539816 0.783038 0.73476 0.269034 2.19168
0.731284  1    0.840495 2.32217 -0.029966 -3.01729 2.0642
1.83108  1    -0.18204 0.290813 1.4094 0.522894 0.70062
0.730592  1    0.39177 1.29313 0.424809 1.3681 0.800531
4.26898  1    -1.99155 -1.9267 -1.10795 0.845409 1.30946
8.83029  1    -1.20672 0.957957 -0.605547 0.198575 1.65939
0.0757673  1    -1.12527 0.363009 0.338183 -0.903503 -0.211094
2.86985  1    -0.79871 -1.97002 -0.499689 -0.0522532 2.19035
0.258431  1    -1.38015 -0.590131 -1.06857 2.2577 -0.397745
3.06959  1    -2.18341 0.311368 -1.46052 -0.767102 1.61015
3.93975  1    -1.58951 -0.610163 0.127819 0.884786 1.42375
0.640061  1    -0.00893691 -0.0982179 0.511712 0.143342 0.688492
1.50033  1    1.03856 1.15187 -0.837954 1.4627 1.50999
4.75883  1    -0.0375808 1.61047 0.267202 1.02581 1.12587
4.30995  1    -0.935278 -0.881828 0.0969344 1.2013 1.10402
2.16224  1    -0.114297 0.843082 0.673336 -0.296737 0.517587
1.52006  1    1.33804 1.07554 -0.783329 1.6943 0.871665
0.979582  1    -1.5278 -0.95309 1.5559 1.05143 0.947593
1.66704  1    -0.281238 0.00329874 -0.258108 2.31863 1.35488
1.16946  1    -0.713639 0.064391 0.429955 1.51686 0.410149
2.01718  1    0.0622643 0.010001 -2.24673 2.14239 1.55351
1.2613  1    -0.874252 -0.845801 0.5927 1.74699 0.839352
3.83852  1    -0.481393 0.789409 -0.188769 1.08969 1.64797
5.16445  1    -1.268 -0.564193 0.869879 1.58478 1.54784
12.5389  1    -2.39139 -0.0243066 -0.0703966 0.778551 2.23411
3.04673  1    0.26038 0.318334 0.6074 1.10193 -0.0960402
2.6487  1    -1.13174 -0.562113 0.240163 0.98028 0.104256
0.132866  1    -0.288773 -0.487297 -0.304796 0.0934713 1.22849
1.34418  1    -1.18617 -0.241335 -0.191054 -0.345229 0.856763
2.02155  1    -1.01907 -0.281275 0.335753 -0.64361 1.19907
1.53916  1    -0.125041 -1.54031 -0.136837 1.09198 1.17102
4.4601  1    -2.06268 0.675313 -1.47351 1.1867 -0.085356
4.30718  1    -2.40022 -0.283969 -0.960636 -0.79732 1.95199
0.424299  1    -2.30966 -1.01404 0.113381 -0.688665 0.61958
1.17424  1    -0.480327 -0.675303 -0.424309 1.80005 1.10123
3.65493  1    0.950557 1.89094 2.32504 1.99769 1.01737
1.88202  1    -1.95444 0.061986 0.48581 1.11435 -0.433554
1.12914  1    -0.801706 -1.00161 -2.00535 0.74404 1.54954
1.81423  1    -1.31325 -1.34704 1.38676 0.164233 0.849244
1.9523  1    -0.645816 1.21239 -1.53116 -0.823009 2.02147
4.4733  1    -0.667662 -0.758646 1.30852 -0.0116146 2.12693
0.0549319  1    -0.164975 1.31178 -0.752855 -0.274543 1.09694
2.89314  1    -1.25172 -1.23733 0.0966016 0.725043 0.652126
0.192899  1    -0.940416 0.732165 -0.728877 -0.0713533 1.65939
1.16876  1    -1.78158 -1.07906 1.07807 1.4555 -0.316826
0.173426  1    -1.82863 -2.24285 0.0157304 -0.245514 0.893589
4.80952  1    0.298456 0.933403 -1.38294 2.62223 0.468024
0.762518  1    -1.21622 0.142931 1.05861 -0.466988 1.10714
1.59292  1    -1.19621 -1.49719 -0.103456 -0.16415 1.70217
0.43364  1    -1.94617 -0.0380405 -0.216474 0.472528 0.180737
2.60713  1    0.0018592 0.324459 0.629512 1.31881 1.84571
1.39938  1    -0.9426 3.44756 0.592148 -0.410694 -0.0929536
2.04819  1    -1.80926 -0.146531 2.64973 0.51837 1.60385
2.60318  1    0.111282 1.35923 -1.35226 2.89696 0.561829
1.84471  1    -0.695516 0.0868079 1.99694 2.78779 0.0648871
2.48062  1    -1.88769 1.24427 1.13335 0.0103423 0.610123
3.63569  1    -1.36434 1.20262 1.14036 0.492314 1.11445
4.67397  1    -0.658289 1.56925 0.233138 0.509287 2.47053
6.04061  1    -0.821032 0.255512 -0.806244 -0.073552 3.5308
0.54893  1    0.179654 1.40111 0.198098 1.21184 0.4899
1.33252  1    -0.160614 -0.24945 -1.70559 1.01976 1.89731
5.8941  1    0.290739 -0.0203156 -0.238533 1.26579 1.82656
2.94751  1    -1.41943 0.442897 0.0432974 -0.073999 1.21524
1.02486  1    -0.841342 0.700547 -2.19736 -0.0345353 1.08704
5.93924  1    0.159138 0.886485 0.531014 0.631673 2.02495
2.14422  1    -1.17669 -1.76006 -0.257982 -0.845979 0.922892
0.0294245  1    0.221921 0.697798 -0.245312 -0.2386 0.975482
2.35785  1    0.906173 -1.07548 0.438182 2.75512 1.85379
4.1584  1    -0.683675 -0.146784 -0.643183 1.54541 0.694829
1.03981  1    -1.51431 -1.11892 -0.693886 0.0992958 0.260253
0.11723  1    -1.37548 1.73137 0.234329 -0.0674974 0.299921
1.05142  1    -1.35933 -0.508834 -0.44153 1.36293 0.666568
5.89805  1    -1.11689 1.36758 -0.399561 -0.947644 1.97876
5.24808  1    -0.350848 1.05314 -0.583828 -0.470789 1.14684
5.83746  1    -1.54461 0.477039 -0.111096 0.404541 -0.0803144
8.72434  1    -1.67118 0.927187 1.35208 0.749173 1.25312
1.55482  1    -1.42292 -0.369077 1.45121 -1.24161 1.3434
2.27308  1    -1.20573 -0.266408 -2.37596 1.87772 1.0339
4.7547  1    -1.46798 0.140913 0.849179 -0.708877 1.69338
3.56607  1    -0.982455 -2.22411 -1.13481 -0.890774 2.38505
1.53582  1    -0.44914 -0.380387 -1.30648 0.88413 0.981041
0.848486  1    0.00981037 -0.0417293 0.277309 -0.764638 1.30233
3.5936  1    -0.522511 0.774645 -0.986098 0.862003 1.76551
3.55793  1    -0.877562 0.391535 1.05148 0.415488 0.605896
0.927565  1    -1.83799 -1.04751 -0.234055 1.63043 -0.308948
0.0594737  1    -1.60685 0.977412 -0.367606 -0.667996 0.060966
2.54025  1    -2.12079 -0.172029 0.246154 1.23125 -0.165693
0.584065  1    0.077883 0.0494034 0.127507 0.505974 2.03056
1.5274  1    -1.17136 -0.203851 -0.35422 1.37035 0.61031
2.09108  1    0.674129 0.465359 0.0410535 1.33522 1.3012
2.03866  1    -0.404072 -0.880348 -0.0317528 0.234939 1.31561
5.04775  1    -1.49395 -1.32525 -0.195803 0.649549 2.23668
3.17613  1    -0.877735 0.193803 -0.417363 0.610418 0.921796
3.50926  1    -0.708748 -0.0988348 -1.44854 0.715746 0.765452
0.785723  1    -0.157161 -0.414102 1.86477 -0.796849 2.81177
5.4749  1    1.09876 0.249332 0.142655 0.894466 2.15907
3.11252  1    -0.645231 0.160487 -0.937501 0.486248 0.172538
5.4833  1    -1.27146 0.0363721 -1.918 1.53866 0.643108
3.0385  1    -0.120246 1.11394 -1.26655 1.82156 1.05245
1.55019  1    -0.594188 0.744396 -0.166576 2.17268 -0.426029
2.91389  1    -3.27451 -1.67945 0.181397 0.000267336 1.59864
4.74816  1    -2.46947 0.682364 -0.947777 -1.08634 1.45858
2.29275  1    -0.102516 -1.36411 -0.642194 1.93364 0.601569
0.227982  1    -1.65037 1.98009 -1.25923 -0.0215441 0.0798476
3.11299  1    -2.12798 2.5114 1.38518 -0.612223 0.727714
1.15219  1    -2.61432 0.00184847 -0.981076 0.578992 0.155928
0.280075  1    -0.983154 -2.02494 -1.07162 1.97452 0.0724461
0.518755  1    -0.530608 2.03992 -1.28948 0.69081 -1.01215
1.09229  1    -0.52975 0.630041 0.382447 0.0729097 0.621467
1.11657  1    -1.68134 -1.93229 -1.82818 0.194286 1.68407
2.29393  1    -1.32429 -0.810022 -0.0614147 1.76385 1.12725
1.24088  1    0.161913 -0.0591587 0.187064 1.22939 0.573593
0.511782  1    -0.439532 0.709502 0.981721 0.530597 -0.0923173
7.04926  1    -0.86988 -0.130075 0.730913 1.77593 1.66776
1.36351  1    0.0977248 -2.80382 0.543191 0.547802 1.85287
4.91315  1    -1.00677 -0.957065 0.580384 2.41446 0.954917
1.86343  1    -1.38255 0.707224 -0.548523 0.744341 0.0227498
0.878848  1    0.845078 -0.0779059 1.1293 -0.166918 1.96682
2.24777  1    0.0418512 1.91594 0.381139 1.5027 1.01054
4.58656  1    0.0264431 -0.75933 -0.486005 0.21975 3.02453
1.99381  1    -0.385262 -0.981053 -0.902175 1.75451 1.63541
1.30335  1    0.368801 0.683754 -0.294401 1.38234 0.30902
4.53908  1    -2.12955 0.925838 -0.484661 0.944285 -0.189663
3.04161  1    -1.20982 0.0953964 -0.338275 0.74512 0.769247
0.937793  1    -2.31819 -0.713866 -0.568673 -0.472313 0.266547
1.17692  1    0.272778 0.205173 -1.05807 1.70528 0.770525
3.35255  1    -0.340026 1.30584 -0.78239 -0.101374 1.74109
2.74467  1    -1.01646 0.0141839 -0.854409 -0.588363 0.807498
6.58059  1    -2.59467 1.50533 0.387599 2.80738 -0.370056
6.00361  1    -0.276935 0.838428 -0.292273 1.71776 2.17247
4.20649  1    0.368211 0.294455 -1.00774 0.437049 1.40762
0.364549  1    0.294237 1.03494 -0.286919 1.63311 0.371022
1.14601  1    -0.266812 0.968404 0.459677 -1.06112 1.28572
2.65393  1    1.18589 0.266478 0.439498 1.39397 1.29638
1.17639  1    -1.89059 -0.148075 -0.983519 -0.351477 0.326379
4.94386  1    -0.138337 1.16862 1.20894 1.30119 0.651193
1.26162  1    -0.695657 3.05498 0.067244 0.00813313 0.716632
0.0393275  1    -0.00157289 -1.18672 0.274352 1.00113 -0.440761
2.26427  1    -0.436674 -0.0874594 -0.158088 2.21825 0.643074
0.256305  1    -1.38424 -1.50763 0.174117 1.03912 -0.224527
2.04035  1    -0.911565 -0.058758 -2.66462 1.06479 1.38709
2.34863  1    -1.02464 0.921652 -0.686859 -0.434539 1.87866
0.408808  1    -1.70663 -0.37063 1.3236 -0.107364 1.08107
3.54632  1    -1.05651 0.128301 -1.09069 0.66864 1.93029
0.739203  1    -1.23238 0.390642 -1.77003 0.0272531 0.607943
5.8848  1    -1.66843 1.59291 -0.771559 -0.14308 1.50606
1.00624  1    -0.488508 -1.32191 1.10282 0.0514678 1.10339
2.0092  1    -0.479088 0.625934 0.181511 0.555311 1.69969
0.840278  1    -1.73655 -0.953993 -1.30368 0.0494576 0.924802
2.22554  1    -1.54437 0.0323386 0.306472 1.7073 0.294994
4.98622  1    -2.82408 0.395975 0.637563 0.817503 -0.30481
0.391742  1    -1.79141 -0.325631 -0.656075 -0.0516564 0.38159
2.53014  1    -0.783818 -0.641394 -0.604751 0.241323 1.79473
0.264289  1    -0.997636 1.19342 -0.183293 2.06082 0.110389
1.23235  1    0.017273 0.729782 -0.0541506 -1.54076 2.22814
0.891225  1    -1.48025 0.971476 -1.203 -1.41763 0.813242
2.25525  1    -1.90801 -0.278508 -0.941646 1.44321 -0.135509
1.46123  1    -1.8243 0.37006 -0.23228 -0.228932 0.573651
3.66473  1    -0.305166 0.619695 -0.364639 -0.639489 2.10273
0.536015  1    -0.681861 0.988843 -0.519442 -1.75812 1.20967
2.32443  1    -0.391467 1.92078 -1.03799 -0.0116608 0.780022
5.59795  1    -3.1884 -0.356776 -0.99586 0.0282019 0.848393
0.836177  1    -0.611381 0.485931 0.343512 1.37321 0.452229
1.40869  1    -1.54753 0.265905 -1.42636 1.07497 0.761034
3.89938  1    -0.313792 0.477921 1.07373 0.571327 2.4404
3.74086  1    -1.44974 -0.509063 0.51458 -0.183865 1.89359
2.0043  1    0.913146 -0.13947 -0.539499 3.13018 1.64722
1.42277  1    -1.26456 0.139774 -1.55582 0.725333 0.517986
6.32227  1    -0.385347 0.31783 0.327517 1.95595 1.97775
2.8363  1    -0.428604 0.822727 -0.61979 1.66592 1.0216
2.922  1    -1.96478 -0.95392 0.0500203 -0.131304 1.15095
2.2018  1    -2.43829 -0.770086 0.172718 0.421393 -0.0254105
1.19145  1    -1.27456 -1.1487 -0.460129 -0.394542 0.698988
2.04573  1    -0.647419 0.272059 -0.373579 1.27572 1.15496
3.73979  1    -1.37562 0.357507 1.04042 0.169441 2.08496
0.565973  1    1.31926 -1.34749 -0.292525 1.66771 0.968415
3.21573  1    -0.553653 2.03475 0.230036 0.485209 -0.102038
0.921853  1    -0.515893 0.61794 -0.71123 1.72904 0.0274746
0.18288  1    -0.108983 0.874559 0.335353 -0.361763 0.48088
0.647069  1    -1.26642 0.801505 2.07102 1.47938 -0.290587
0.191052  1    -0.168419 1.49843 -0.813169 1.08912 0.530025
3.98618  1    -0.0523987 0.19125 2.10266 1.46725 1.87742
1.46104  1    -1.59176 1.11137 -3.08824 0.655106 0.102472
3.79621  1    -0.0655921 -0.491128 -0.192392 0.966858 0.961398
1.04518  1    0.0155201 0.379284 0.252743 1.19719 0.79993
3.01904  1    -1.22793 0.00750327 1.62846 0.301433 1.78828
0.478735  1    -0.253322 2.02905 -0.494476 0.180462 0.243649
2.06925  1    0.265732 -0.324993 1.04147 0.609026 1.89837
1.36903  1    -0.97611 1.15272 -0.393601 0.876197 0.670355
3.74996  1    0.168551 0.970309 -1.0573 1.39159 0.976167
1.43951  1    0.307432 -1.58605 0.259005 2.0944 0.527036
0.344284  1    -1.83379 1.25097 -1.19325 1.3987 -1.20456
0.0228834  1    -1.66652 2.67343 0.995864 -0.0266688 -0.202661
0.559932  1    0.718254 0.209053 0.136082 -0.271945 1.74769
4.21361  1    -0.97462 1.39195 0.514417 1.49328 0.500816
0.966041  1    -0.037506 0.0257512 2.0791 0.761131 1.81828
4.4475  1    -2.88277 0.0896238 1.49821 1.23286 0.631428
0.904489  1    -1.04541 -0.517093 0.339996 1.927 -0.539965
2.08495  1    0.565578 -0.00256364 0.341666 0.35887 2.06576
7.19842  1    -0.797366 0.38429 0.137655 0.399804 1.63199
0.619192  1    -2.13855 -0.054786 0.476748 -0.0030603 0.300265
5.07498  1    -1.21026 1.65689 -1.69813 0.40753 0.901537
0.0978548  1    -1.20815 -0.0459112 1.62026 0.075033 0.344259
5.27278  1    -1.07253 0.926493 -0.217345 0.688323 0.908452
1.60214  1    -1.79997 -1.11695 -0.354383 1.04152 0.741274
4.77598  1    -0.730907 0.963657 -0.812563 1.44783 1.02082
5.16686  1    -0.482085 1.06174 -0.191563 0.194559 1.26956
0.977702  1    -0.339008 -0.865089 0.308993 0.658116 1.02194
10.7209  1    -1.64688 1.37715 -0.326261 0.16806 3.11372
5.34398  1    -1.52538 0.635056 1.43056 1.44893 0.299653
5.21445  1    -1.8851 -0.376882 -1.53405 0.712559 1.87159
2.83941  1    -0.328593 1.91026 -1.37497 0.962515 1.5007
1.20912  1    -0.451965 -0.099364 -0.901689 -0.250237 1.51684
1.54585  1    -1.58755 0.997593 -2.44189 0.137891 0.197308
3.00292  1    0.434866 -0.524524 -1.25221 1.47057 1.67612
0.683525  1    -1.93191 0.637277 -1.04451 1.15454 -0.443089
1.19152  1    -1.85434 -0.995344 -1.67672 0.664655 0.298162
0.134779  1    -0.924936 -0.251282 -2.01242 1.11299 0.576723
4.02523  1    0.184983 -0.187972 -0.645007 1.84721 1.78783
